image_name,face_width,face_height,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,is_tongue_out,is_duck_face,face_cent_x,face_cent_y
01cdd7aa1a1a11e2aaa822000a1fb0dd_6,158,158,0.0,0.0,0.0,0.0,0.059000000000000004,0.9390000000000001,0.002,0.0,-1,-1,97.0,186.0
024696bead0c11e389d50ec42b3b1b1c_6,138,138,0.0,0.011000000000000001,0.0,0.0,0.392,0.597,0.0,0.0,-1,-1,120.0,143.0
026df048221a11e2b52122000a1fa4b5_6,145,145,0.002,0.0,0.0,0.0,0.0,0.997,0.001,0.0,-1,-1,155.5,79.5
02ee8060b02f11e38fe012b1c8928cc9_6,99,99,0.0,0.068,0.0,0.0,0.028999999999999998,0.897,0.006999999999999999,0.0,-1,-1,160.5,53.5
0345a4babff911e395860002c954a07e_6,132,132,0.0,0.102,0.001,0.0,0.602,0.293,0.001,0.0,1,-1,139.0,108.0
044c14a2bff911e396ce0002c9de8044_6,118,118,0.0,0.001,0.0,0.0,0.514,0.485,0.0,0.0,-1,-1,117.0,133.0
04ed1c2ebffb11e38f8c0002c9dced72_6,141,141,0.0,0.002,0.0,0.0,0.0,0.9640000000000001,0.033,0.001,-1,-1,129.5,135.5
0598ce50b1f711e3bd391271df4caaa4_6,116,116,0.002,0.001,0.0,0.0,0.0,0.997,0.0,0.0,-1,-1,143.0,178.0
05b81dfec0d011e386200002c9dc8af0_6,149,149,0.0,0.001,0.0,0.0,0.002,0.996,0.0,0.0,-1,-1,189.5,118.5
05db7b34b9aa11e1a9f71231382044a1_6,138,138,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,-1,-1,172.0,95.0
06c71a9ead0011e3879b129cfeadffe8_6,175,175,0.0,0.002,0.0,0.0,0.993,0.005,0.0,0.0,-1,-1,146.5,193.5
06eade16a91311e3910112bbf73ae200_6,115,115,0.0,0.001,0.0,0.0,0.001,0.992,0.002,0.005,-1,-1,144.5,143.5
07f71a82232111e29ade22000a1f9bd0_6,124,124,0.0,0.0,0.0,0.0,0.9890000000000001,0.01,0.0,0.0,-1,-1,175.0,122.0
08789b680ef111e39dc922000a1fbb59_6,146,146,0.0,0.001,0.0,0.0,0.0,0.9890000000000001,0.01,0.0,-1,-1,134.0,127.0
09c32e5ca83911e3a5ea0a7cffb7c5e1_6,93,93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,130.5,106.5
09c515c4ad0611e3ae221212d5b5af4c_6,207,207,0.0,0.001,0.0,0.0,0.0,0.997,0.002,0.0,-1,-1,147.5,195.5
09cf370a997b11e38a690ed861720702_6,154,154,0.0,0.003,0.0,0.0,0.0,0.986,0.01,0.0,-1,-1,125.0,159.0
0a7c576672f111e29f1422000a1fbc0e_6,211,211,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-1,112.5,168.5
0a80403abd8b11e2bccd22000ae91234_6,119,119,0.0,0.001,0.0,0.0,0.16399999999999998,0.835,0.0,0.0,-1,-1,163.5,115.5
0afcab66332e11e3926322000aaa0aa5_6,145,145,0.0,0.0,0.0,0.0,0.0,0.93,0.07,0.0,-1,-1,135.5,151.5
0c293e5cb3c911e3abd212eddce84025_6,142,142,0.0,0.151,0.0,0.0,0.084,0.758,0.006999999999999999,0.0,-1,-1,137.0,119.0
0c5abda8a6f711e3aedb125d9a40ea40_6,127,127,0.002,0.004,0.0,0.009000000000000001,0.0,0.935,0.02,0.03,-1,-1,168.5,113.5
0ce4ee9abe1911e386f10002c955f0ae_6,176,176,0.039,0.005,0.01,0.0,0.11699999999999999,0.823,0.006999999999999999,0.0,-1,-1,146.0,178.0
0dabcf40c0e611e388890002c9ce57aa_6,78,78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,153.0,66.0
0deb3814d0ec11e29b6422000aa80460_6,174,172,0.0,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,-1,-1,164.0,86.0
0f635414f5a011e2b05d22000a1f9375_6,128,128,0.0,0.223,0.0,0.0,0.43799999999999994,0.33799999999999997,0.001,0.0,-1,-1,184.0,146.0
10004079_1395112570767342_362745646_a,130,130,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,232.0,152.0
10004079_1437144529857040_1053812165_a,108,108,0.0,0.002,0.0,0.0,0.818,0.18,0.0,0.0,-1,-1,147.0,131.0
10004079_1477546595790322_1481298656_a,176,176,0.0,0.075,0.0,0.0,0.083,0.838,0.002,0.0,-1,-1,127.0,203.0
10004079_215814915296430_2121357552_a,67,67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,136.5,117.5
10004079_642830962436641_919235955_a,139,139,0.0,0.0,0.0,0.0,0.0,0.998,0.001,0.0,-1,-1,182.5,119.5
10004079_644027062329932_1635781132_a,122,122,0.001,0.0,0.0,0.002,0.46799999999999997,0.498,0.006,0.024,-1,-1,154.0,173.0
10004079_685361111510616_12864975_a,153,153,0.0,0.001,0.001,0.0,0.995,0.002,0.0,0.0,-1,-1,99.5,133.5
10004079_746853488679307_1965987773_a,172,172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,167.0,129.0
10004084_257394017798698_768303981_a,150,150,0.0,0.0,0.0,0.0,0.0,0.6859999999999999,0.0,0.314,-1,1,138.0,136.0
10004084_294718917350790_1870880963_a,202,202,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0,-1,-1,124.0,128.0
10004084_750997008251861_260118696_a,153,153,0.0,0.031,0.0,0.0,0.669,0.297,0.003,0.0,-1,-1,211.5,78.5
10004084_762894500402385_176876052_a,120,120,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-1,95.0,109.0
10004085_1408953856037252_1857245578_a,106,106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,116.0,149.0
10004092_212287995647683_861628286_a,120,120,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,160.0,112.0
10004094_1403144039957338_348231293_a,117,117,0.002,0.004,0.001,0.0,0.121,0.862,0.009000000000000001,0.0,-1,-1,188.5,130.5
10004103_1468914103326302_277236405_a,131,131,0.0,0.024,0.0,0.0,0.0,0.96,0.015,0.0,-1,-1,147.5,121.5
10004103_1497429407147370_2017762591_a,153,153,0.0,0.001,0.0,0.0,0.085,0.9129999999999999,0.0,0.001,-1,-1,178.5,221.5
10004103_258034334376084_470548393_a,205,219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,202.5,164.5
10004103_298952880258027_487477134_a,160,160,0.0,0.111,0.001,0.0,0.004,0.878,0.005,0.001,-1,-1,147.0,111.0
10004103_427170034085886_1306636975_a,171,171,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0,-1,-1,175.5,175.5
10004103_763232037034132_200580467_a,176,176,0.0,0.0,0.0,0.002,0.019,0.787,0.175,0.016,-1,-1,111.0,138.0
10004103_784876908192082_171115415_a,103,103,0.0,0.001,0.0,0.0,0.71,0.28800000000000003,0.0,0.0,-1,-1,127.5,106.5
10004103_848133601868400_1654549250_a,136,136,0.0,0.001,0.0,0.0,0.9490000000000001,0.049,0.0,0.001,-1,-1,143.0,98.0
10004104_495450143910460_1680949227_a,103,103,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,145.5,116.5
10004111_1418684108391435_1732380963_a,128,128,0.0,0.003,0.0,0.0,0.995,0.002,0.0,0.0,-1,-1,175.0,96.0
10004111_1458666134369005_1719203379_a,101,101,0.0,0.046,0.0,0.0,0.15,0.804,0.0,0.0,-1,-1,145.5,107.5
10004111_232217286971335_467797713_a,149,149,0.0,0.0,0.0,0.0,0.0,0.623,0.376,0.0,-1,-1,169.5,161.5
10004111_737838749582793_1234145479_a,177,177,0.0,0.004,0.001,0.0,0.0,0.19899999999999998,0.7959999999999999,0.0,-1,-1,152.5,117.5
10004115_745401702171931_569320009_a,123,123,0.0,0.0,0.0,0.0,0.003,0.993,0.004,0.0,-1,-1,143.5,150.5
10004116_1413284602266797_2139880954_a,89,89,0.0,0.005,0.0,0.0,0.599,0.395,0.0,0.0,-1,-1,140.5,76.5
10004116_653030634733773_1623379572_a,97,97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,178.5,98.5
10004126_210650979143991_1355733614_a,164,152,0.0,0.013999999999999999,0.0,0.0,0.08900000000000001,0.895,0.002,0.0,-1,-1,86.0,229.0
10004126_244002322450107_1223819319_a,128,128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,166.0,134.0
10004126_478593978909050_751453659_a,144,144,0.002,0.048,0.004,0.0,0.284,0.6579999999999999,0.005,0.0,-1,-1,139.0,160.0
10004126_522157571227760_140489748_a,166,166,0.0,0.0,0.0,0.0,0.987,0.013000000000000001,0.0,0.0,-1,-1,154.0,136.0
10004126_602887086469379_1010430442_a,81,81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,176.5,119.5
10004126_658054797594994_1955389043_a,117,117,0.0,0.018000000000000002,0.0,0.0,0.42200000000000004,0.557,0.002,0.001,-1,-1,96.5,127.5
10004136_1439971879579151_608104803_a,108,108,0.0,0.001,0.0,0.0,0.649,0.349,0.0,0.0,-1,-1,190.0,73.0
10004136_1462910710608441_1708200646_a,140,140,0.0,0.062,0.0,0.0,0.111,0.823,0.004,0.0,-1,1,151.0,166.0
10004136_300129033474855_1776296020_a,162,162,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,137.0,147.0
10004136_425109350966793_2071971089_a,92,92,0.0,0.002,0.0,0.0,0.0,0.997,0.0,0.001,-1,-1,104.0,92.0
10004136_551198748328649_2136620419_a,133,133,0.0,0.001,0.001,0.0,0.737,0.16399999999999998,0.098,0.0,-1,-1,144.5,130.5
10004136_619401681487941_661348233_a,130,130,0.0,0.0,0.0,0.0,0.997,0.003,0.0,0.0,-1,-1,145.0,175.0
10004136_687252314667114_792654868_a,144,144,0.0,0.001,0.0,0.0,0.9890000000000001,0.01,0.0,0.0,-1,-1,201.0,176.0
10004136_695634387146348_762859213_a,95,95,0.0,0.011000000000000001,0.0,0.0,0.664,0.325,0.0,0.0,-1,1,173.5,98.5
