image_name,face_top,face_left,face_width,face_height,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,is_tongue_out,is_duck_face
10013090_298753170281663_640905045_a,57,72,154,154,0.001,0.0,0.0,0.001,0.111,0.598,0.001,0.286,-1,-1
10013090_307036239444922_41728870_a,33,153,117,117,0.0,0.001,0.0,0.0,0.129,0.869,0.0,0.001,-1,-1
10013090_387265198082095_397874164_a,76,141,164,173,0.0,0.017,0.0,0.0,0.031,0.949,0.003,0.0,-1,-1
10013090_537730763002082_1993727835_a,46,95,104,104,0.0,0.001,0.0,0.0,0.0,0.997,0.001,0.0,-1,-1
10013090_614706655272337_1356137964_a,71,21,147,147,0.0,0.0,0.0,0.0,0.0,0.998,0.001,0.0,-1,-1
10013090_641223562597587_482032862_a,0,0,251,235,0.0,0.003,0.0,0.0,0.59,0.406,0.0,0.0,-1,-1
10013090_650544351648015_1390747413_a,0,31,146,142,0.0,0.011,0.0,0.0,0.929,0.056,0.004,0.0,-1,-1
10013090_685182201523169_528006960_a,8,83,113,113,0.0,0.002,0.0,0.0,0.791,0.062,0.0,0.143,-1,-1
10013092_544041542381569_2038266071_a,70,70,167,167,0.0,0.002,0.0,0.0,0.001,0.977,0.02,0.0,-1,-1
10013093_1379189505694396_368196063_a,73,188,117,136,0.0,0.002,0.0,0.0,0.001,0.97,0.026,0.001,-1,-1
10013093_1460884070811805_1932361196_a,76,128,106,106,0.0,0.0,0.0,0.0,0.003,0.99,0.0,0.007,-1,-1
10013093_636054913114291_618375437_a,63,29,160,160,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10013093_671303976264928_1281514333_a,61,44,109,109,0.0,0.149,0.0,0.0,0.004,0.842,0.004,0.0,-1,-1
10013093_717073128343659_850703647_a,36,124,83,83,0.0,0.0,0.0,0.0,0.0,0.587,0.0,0.413,-1,-1
10013093_767019020021603_668216636_a,55,129,134,134,0.0,0.002,0.0,0.0,0.748,0.25,0.0,0.0,-1,-1
10013093_768443056500115_605206717_a,21,87,122,122,0.0,0.0,0.0,0.0,0.0,0.991,0.008,0.0,-1,-1
10013096_1453926884843695_469483784_a,94,94,124,124,0.0,0.001,0.0,0.0,0.0,0.513,0.486,0.0,-1,-1
10013096_263842750456442_1566824675_a,129,53,99,99,0.12,0.003,0.001,0.0,0.001,0.874,0.001,0.0,-1,-1
10013096_265036987012193_760036782_a,56,94,130,130,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10013096_280611385440610_8628341_a,87,69,145,145,0.0,0.001,0.0,0.0,0.0,0.995,0.004,0.0,-1,-1
10013096_493783777411733_1394823687_a,0,81,193,179,0.0,0.001,0.0,0.0,0.893,0.107,0.0,0.0,-1,-1
10013096_530883370366156_376187874_a,57,130,63,63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10013096_545980032185596_1795910954_a,0,68,167,165,0.0,0.001,0.0,0.0,0.001,0.46,0.0,0.538,-1,-1
10013096_648434695204750_628599730_a,14,116,127,127,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10013096_686367024742691_373585941_a,0,32,273,295,0.0,0.001,0.0,0.0,0.783,0.211,0.001,0.003,-1,-1
10013096_713887021995159_1690562933_a,12,38,117,117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10013097_1409270832675981_646368384_a,50,92,164,164,0.0,0.001,0.0,0.0,0.0,0.996,0.003,0.0,-1,-1
10013098_551633564952445_1718264551_a,45,101,125,125,0.244,0.085,0.12,0.0,0.145,0.4,0.004,0.002,-1,-1
10013098_638059609576471_237618385_a,13,143,162,194,0.0,0.011,0.0,0.0,0.111,0.876,0.001,0.0,-1,-1
10013098_704766439562546_1313281643_a,51,112,69,69,0.0,0.001,0.0,0.0,0.0,0.998,0.001,0.0,-1,-1
